,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
17,Table18,17,"PCH SANTA LUZIA D""""OESTE PLU",01261002,1,15,00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.,ALTO ALEGRE DOS PARECIS-RO,-12.34330,-61.76920,356.00,0,,Setor Elétrico,Ativo
18,Table19,18,UHE MANSO MET,01455013,6,66,00809 - CONS.MANSO - Consórcio UHE Manso,00809 - CONS.MANSO - Consórcio UHE Manso,CHAPADA DOS GUIMARÃES-MT,-14.86140,-55.78940,344.00,0,,Setor Elétrico,Ativo
19,Table20,19,PCH MACHADO MINEIRO PASSAGEM DAS ÉGUAS,01542030,5,53,00239 - HORIZONTES - Horizontes Energia S.A.,00239 - HORIZONTES - Horizontes Energia S.A.,RIO DO PRADO-MG,-15.60920,-42.54170,0.00,0,,Setor Elétrico,Ativo
20,Table21,20,ANA SEDE (COTA ONLINE),01547032,6,60,00001 - ANA - Agência Nacional de Águas,00001 - ANA - Agência Nacional de Águas,BRASÍLIA-DF,-15.81805,-47.94500,1150.00,0,,CotaOnline,Ativo
21,Table22,21,ANA SEDE - TELEMÉTRICA,01547079,6,60,00001 - ANA - Agência Nacional de Águas,00001 - ANA - Agência Nacional de Águas,BRASÍLIA-DF,-15.81810,-47.94500,1150.00,0,,RHN,Ativo
22,Table23,22,UHE SERRA DA MESA BARRO ALTO,01548050,2,20,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BARRO ALTO-GO,-15.11750,-48.92420,584.00,0,,Setor Elétrico,Ativo
23,Table24,23,UHE BATALHA CRISTALINA,01647002,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,-16.78810,-47.60330,1173.00,0,,Setor Elétrico,Ativo
24,Table25,24,UHE BATALHA FAZENDA BURITI,01647023,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,CRISTALINA-GO,-16.96830,-47.34190,881.00,0,,Setor Elétrico,Ativo
25,Table26,25,"UHE BATALHA SÍTIO OLHO D"""" ÁGUA",01647024,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,UNAÍ-MG,-16.38920,-47.15080,974.00,0,,Setor Elétrico,Ativo
26,Table27,26,LASSANCE,01744010,4,41,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas,LASSANCE-MG,-17.89000,-44.57670,536.00,0,,RHN,Ativo
27,Table28,27,UHE SERRA DO FACÃO CLIMATOLÓGICA,01747012,6,60,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.,CATALÃO-GO,-17.87720,-47.70140,0.00,0,,Setor Elétrico,Ativo
28,Table29,28,UHE ITUMBIARA PIRACANJUBA,01749015,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PIRACANJUBA-GO,-17.31060,-49.02190,730.00,0,,Setor Elétrico,Ativo
29,Table30,29,PCH TRONQUEIRAS SE GOVERNADOR VALADARES,01841029,5,56,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,GOVERNADOR VALADARES-MG,-18.85500,-41.96000,0.00,0,,Setor Elétrico,Ativo
30,Table31,30,UHE ITUMBIARA TUPACIGUARA,01848055,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,TUPACIGUARA-MG,-18.62170,-48.68470,917.00,0,,Setor Elétrico,Ativo
31,Table32,31,UHE ITUMBIARA ÁGUA LIMPA,01848059,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ÁGUA LIMPA-GO,-18.07470,-48.75640,711.00,0,,Setor Elétrico,Ativo
32,Table33,32,UHE ITUMBIARA FAZENDA ROSAS,01848060,6,60,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ANHANGUERA-GO,-18.32330,-48.22640,0.00,0,,Setor Elétrico,Ativo
33,Table34,33,CGH SANTA LUZIA SE ITUIUTABA,01849035,6,60,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,ITUIUTABA-MG,-18.96360,-49.44830,0.00,0,,Setor Elétrico,Ativo
34,Table35,34,UHE SÁ CARVALHO SE MESQUITA,01942033,5,56,00624 - SÁ CARVALHO - Sá Carvalho S.A,00624 - SÁ CARVALHO - Sá Carvalho S.A,MESQUITA-MG,-19.41690,-42.54920,0.00,0,,Setor Elétrico,Ativo
35,Table36,35,UHE SÁ CARVALHO JUSANTE,01942049,5,56,00624 - SÁ CARVALHO - Sá Carvalho S.A,00624 - SÁ CARVALHO - Sá Carvalho S.A,ANTÔNIO DIAS-MG,-19.63470,-42.80610,0.00,0,,Setor Elétrico,Ativo
36,Table37,36,CGH SANTA LUZIA SE SERRA DO SALITRE,01946024,6,60,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,SERRA DO SALITRE-MG,-19.11830,-46.68170,0.00,0,,Setor Elétrico,Ativo
37,Table38,37,PCH MARTINS SE UBERABA,01947032,6,61,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,UBERABA-MG,-19.71970,-47.91420,0.00,0,,Setor Elétrico,Ativo
38,Table39,38,ROSÁRIO DA LIMEIRA,02042051,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,ROSÁRIO DA LIMEIRA-MG,-20.97888,-42.50944,0.00,0,,RHN,Ativo
39,Table40,39,CONSELHEIRO LAFAIETE,02043005,4,40,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas,CONSELHEIRO LAFAIETE-MG,-20.62500,-43.75360,996.00,0,,RHN,Ativo
40,Table41,40,UHE PETI SÃO GONÇALO DO RIO ACIMA,02043063,5,56,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,01061 - CEMIG LESTE - CEMIG  Geração Leste S.A.,BARÃO DE COCAIS-MG,-20.02530,-43.53920,0.00,0,,Setor Elétrico,Ativo
41,Table42,41,UHE CAJURU FAZENDA CAMPO GRANDE,02044063,4,40,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.,PASSA TEMPO-MG,-20.62610,-44.43780,0.00,0,,Setor Elétrico,Ativo
42,Table43,42,LAGOA DOURADA,02044079,4,40,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,LAGOA DOURADA-MG,-20.91027,-44.07750,0.00,13330000,RIO ACRE,RHN,Ativo
43,Table44,43,CGH ANIL SE PIMENTA,02045031,6,61,00023 - CEMIG - CEMIG Geração e Transmissão S.A,00023 - CEMIG - CEMIG Geração e Transmissão S.A,PIMENTA-MG,-20.46830,-45.79310,0.00,0,,Setor Elétrico,Ativo
44,Table45,44,UHE MARECHAL MASCARENHAS DE MORAES ITAÚ DE MINAS,02046031,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,ITAÚ DE MINAS-MG,-20.74890,-46.74360,0.00,0,,Setor Elétrico,Ativo
45,Table46,45,UHE LUIZ CARLOS BARRETO DE CARVALHO MET,02047115,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PEDREGULHO-SP,-20.15830,-47.27810,725.00,0,,Setor Elétrico,Ativo
46,Table47,46,UHE PORTO COLÔMBIA PLU,02048096,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,PLANURA-MG,-20.11920,-48.57310,0.00,0,,Setor Elétrico,Ativo
47,Table48,47,UHE MARIMBONDO MET,02049070,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,FRONTEIRA-MG,-20.29250,-49.19670,454.00,0,,Setor Elétrico,Ativo
48,Table49,48,SÃO SEBASTIÃO DA VARGEM ALEGRE,02142096,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,SÃO SEBASTIÃO DA VARGEM ALEGRE-MG,-21.07250,-42.63694,0.00,0,,RHN,Ativo
49,Table50,49,MIRAI,02142097,5,58,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas,MIRAÍ-MG,-21.19472,-42.61583,0.00,0,,RHN,Ativo
50,Table51,50,PCH MARMELOS SE JUIZ DE FORA,02143064,5,58,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,-21.71140,-43.40310,0.00,0,,Setor Elétrico,Ativo
51,Table52,51,"PCH MARMELOS CHAPÉU D""""UVAS",02143162,5,58,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,01060 - CEMIG SUL - CEMIG Geração Sul S.A.,JUIZ DE FORA-MG,-21.58530,-43.52720,746.00,0,,Setor Elétrico,Ativo
52,Table53,52,UHE LUIZ CARLOS BARRETO DE CARVALHO BOA ESPERANÇA,02145048,6,61,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,BOA ESPERANÇA-MG,-21.08780,-45.56860,772.00,0,,Setor Elétrico,Ativo
53,Table54,53,PCH WALTER ROSSI (ANTAS II)  BARRAGEM DO CIPÓ,02146112,6,61,00232 - DMEDISTR - DME Distribuição S/A,00232 - DMEDISTR - DME Distribuição S/A,POÇOS DE CALDAS-MG,-21.85280,-46.60940,1268.00,0,,Setor Elétrico,Ativo
54,Table55,54,FAZENDA DAS FLORES,02147012,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,-21.33330,-47.78330,720.00,0,,RHN,Ativo
55,Table56,55,FAZENDA RESFRIADO,02147013,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,RIBEIRÃO PRETO-SP,-21.30000,-47.93330,590.00,0,,RHN,Ativo
56,Table57,56,CRAVINHOS,02147014,6,61,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...,CRAVINHOS-SP,-21.36670,-47.71670,700.00,0,,RHN,Ativo
57,Table58,57,UHE IBITINGA ARARAQUARA,02148171,6,62,00143 - AES TIETÊ - AES Tietê Energia S.A.,00143 - AES TIETÊ - AES Tietê Energia S.A.,ARARAQUARA-SP,-21.77190,-48.25470,658.00,0,,Setor Elétrico,Ativo
58,Table59,58,UHE PROMISSÃO LINS,02149097,6,62,00143 - AES TIETÊ - AES Tietê Energia S.A.,00143 - AES TIETÊ - AES Tietê Energia S.A.,LINS-SP,-21.71390,-49.72030,542.00,0,,Setor Elétrico,Ativo
59,Table60,59,UHE SIMPLÍCIO FAZENDA SANTA MÔNICA,02243507,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,VALENÇA-RJ,-22.36080,-43.69780,0.00,0,,Setor Elétrico,Ativo
60,Table61,60,UHE SIMPLÍCIO METEOROLÓGICA,02243508,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,SAPUCAIA-RJ,-22.03890,-43.00060,414.00,0,,Setor Elétrico,Ativo
61,Table62,61,UEL VIGÁRIO PASSO TRÊS,02244107,5,58,00008 - LIGHT - Light Energia S.A,00008 - LIGHT - Light Energia S.A,RIO CLARO-RJ,-22.69250,-44.00690,450.00,0,,Setor Elétrico,Ativo
62,Table63,62,UHE FUNIL RESENDE AEROPORTO,02244161,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,RESENDE-RJ,-22.47560,-44.47360,0.00,0,,Setor Elétrico,Ativo
63,Table64,63,UHE FUNIL GUARATINGUETÁ,02245032,5,58,00069 - FURNAS - Furnas Centrais Elétricas S.A.,00069 - FURNAS - Furnas Centrais Elétricas S.A.,GUARATINGUETÁ-SP,-22.80890,-45.20080,558.00,0,,Setor Elétrico,Ativo
64,Table65,64,UHE IBITINGA ITAQUERI DA SERRA,02247201,6,62,00143 - AES TIETÊ - AES Tietê Energia S.A.,00143 - AES TIETÊ - AES Tietê Energia S.A.,ITIRAPINA-SP,-22.31500,-47.91720,967.00,0,,Setor Elétrico,Ativo
65,Table66,65,UHE PROMISSÃO NOVO HORIZONTE,02249112,6,62,00143 - AES TIETÊ - AES Tietê Energia S.A.,00143 - AES TIETÊ - AES Tietê Energia S.A.,NOVO HORIZONTE-SP,-21.42250,-49.08750,500.00,0,,Setor Elétrico,Ativo
66,Table67,66,UHE SALTO GRANDE FAZENDA SÃO PAULO,02249113,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ÁGUAS DE SANTA BARBARA-SP,-22.76190,-49.24310,643.00,0,,Setor Elétrico,Ativo
67,Table68,67,UHE CANOAS I CÂNDIDO MOTTA,02250097,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,-22.75330,-50.46940,437.00,0,,Setor Elétrico,Ativo
68,Table69,68,UHE CANOAS I PLATINA,02250098,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PLATINA-SP,-22.60810,-50.18080,472.00,0,,Setor Elétrico,Ativo
69,Table70,69,UHE CANOAS II IBIRAREMA,02250099,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,IBIRAREMA-SP,-22.86640,-50.09360,432.00,0,,Setor Elétrico,Ativo
70,Table71,70,UHE CANOAS II PALMITAL,02250100,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,PALMITAL-SP,-22.72220,-50.13580,530.00,0,,Setor Elétrico,Ativo
71,Table72,71,UHE TAQUARUÇU ANHUMAS,02251080,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ANHUMAS-SP,-22.29170,-51.42420,451.00,0,,Setor Elétrico,Ativo
72,Table73,72,UHE TAQUARUÇU CENTENÁRIO DO SUL,02251081,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,CENTENÁRIO DO SUL-PR,-22.83170,-51.60280,514.00,0,,Setor Elétrico,Ativo
73,Table74,73,PCH PORTO GÓES BOM JARDIM,02346469,6,62,00084 - EMAE - EMAE,00084 - EMAE - EMAE,JUNDIAÍ-SP,-23.15250,-46.99000,732.55,0,,Setor Elétrico,Ativo
74,Table75,74,UHE JURUMIRIM BREJAUVA,02347192,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,SÃO MIGUEL ARCANJO-SP,-23.78560,-47.63560,745.00,0,,Setor Elétrico,Ativo
75,Table76,75,UHE CANOAS I BAIRRO MORRO CAVADO,02348090,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,BURI-SP,-23.71220,-48.70420,666.00,0,,Setor Elétrico,Ativo
76,Table77,76,UHE CANOAS II FAZENDA TRÊS LAGOAS,02348092,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ANGATUBA-SP,-23.42830,-48.44000,712.00,0,,Setor Elétrico,Ativo
77,Table78,77,UHE CHAVANTES FAZENDA SÃO JOÃO,02349076,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,RIVERSUL-SP,-23.85170,-49.39500,659.80,0,,Setor Elétrico,Ativo
78,Table79,78,PCH APUCARANINHA MONTANTE 2,02351080,6,64,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,APUCARANA-PR,-23.51750,-51.53030,0.00,0,,Setor Elétrico,Ativo
79,Table80,79,UHE CANOAS I BAIRRO CACHIMBA,02448071,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,APIAÍ-SP,-24.48310,-48.77690,880.00,0,,Setor Elétrico,Ativo
80,Table81,80,UHE CANOAS I BAIRRO CANTAGALO,02448072,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,ITAPEVA-SP,-24.09360,-48.63890,950.00,0,,Setor Elétrico,Ativo
81,Table82,81,UHE CANOAS II CAPÃO LIMPO,02448073,6,64,00800 - CONS.CANOAS - Consórcio UHE Canoas,00800 - CONS.CANOAS - Consórcio UHE Canoas,CAPÃO BONITO-SP,-24.07140,-48.18250,635.00,0,,Setor Elétrico,Ativo
82,Table83,82,UHE CHAVANTES BERTANHOLI,02449067,6,64,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,ITARARÉ-SP,-24.09030,-49.32920,725.00,0,,Setor Elétrico,Ativo
83,Table84,83,BOM JARDIM MONTANTE,02450009,6,64,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,TIBAGI-PR,-24.67780,-50.48440,750.00,0,,RHN,Ativo
84,Table85,84,UHE ITAIPU MANOEL RIBAS,02451057,6,64,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,MANOEL RIBAS-PR,-24.51330,-51.66500,878.00,0,,Setor Elétrico,Ativo
85,Table86,85,UHE ITAIPU SANTA MARIA,02451059,6,64,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,SANTA MARIA DO OESTE-PR,-24.93330,-51.88330,550.00,0,,Setor Elétrico,Ativo
86,Table87,86,UHE ITAIPU UBIRATÃ,02452062,6,64,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,UBIRATÃ-PR,-24.55330,-52.98580,530.00,0,,Setor Elétrico,Ativo
87,Table88,87,CGH MARUMBI GUARATUBA,02548079,8,82,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,GUARATUBA-PR,-25.84530,-48.58030,0.00,0,,Setor Elétrico,Ativo
88,Table89,88,CGH MARUMBI ANTONINA,02548098,8,82,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,ANTONINA-PR,-25.24330,-48.75220,0.00,0,,Setor Elétrico,Ativo
89,Table90,89,ENTREMAR,02549113,6,65,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,PIRAQUARA-PR,-25.48920,-49.04080,900.00,0,,RHN,Ativo
90,Table91,90,UHE SALTO SANTIAGO GUARAPUAVA,02551015,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,-25.36560,-51.49560,1051.00,0,,Setor Elétrico,Ativo
91,Table92,91,UHE SALTO SANTIAGO GOIOXIM,02551063,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,-25.24060,-51.92750,917.00,0,,Setor Elétrico,Ativo
92,Table93,92,UHE SALTO OSÓRIO PINHÃO,02551069,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,PINHÃO-PR,-25.66170,-51.66220,1070.00,0,,Setor Elétrico,Ativo
93,Table94,93,UHE FUNDÃO GUARAPUAVA,02551070,6,65,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,-25.38470,-51.49390,0.00,0,,Setor Elétrico,Ativo
94,Table95,94,UHE FUNDÃO PINHÃO,02551071,6,65,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,PINHÃO-PR,-25.64920,-51.96250,0.00,0,,Setor Elétrico,Ativo
95,Table96,95,UHE SANTA CLARA ENTRE RIOS,02551072,6,65,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,-25.54580,-51.48830,0.00,0,,Setor Elétrico,Ativo
96,Table97,96,UHE SALTO OSÓRIO LARANJEIRAS DO SUL,02552009,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,LARANJEIRAS DO SUL-PR,-25.39780,-52.43500,810.00,0,,Setor Elétrico,Ativo
97,Table98,97,UHE SALTO SANTIAGO CHOPINZINHO PLU,02552030,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,CHOPINZINHO-PR,-25.86000,-52.52690,738.00,0,,Setor Elétrico,Ativo
98,Table99,98,UHE SALTO SANTIAGO FOZ DO JORDÃO,02552055,6,65,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,FOZ DO JORDÃO-PR,-25.77470,-52.11390,615.00,0,,Setor Elétrico,Ativo
