estcodigo,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
27005114,,2015/03/03,-27.00089,-51.14152,VIDEIRA - Aeroporto,P,2547.0,CEMADEN
27005107,,2015/03/03,-27.00514,-51.0703,VIDEIRA - Rio das Pedras,P,2549.0,CEMADEN
25385157,910.0,2003/04/08,-25.64944,-51.9625,Pinhão,M,2763.0,Simepar
26445084,944.26,2008/03/19,-26.81916,-50.98552,Caçador,M,3117.0,Inmet
26285158,1100.0,1998/04/28,-26.4682,-51.9762,Palmas,M,3486.0,Simepar
25755210,689.0,2013/01/24,-25.75922,-52.10889,Derivação do Rio Jordão,H,3727.0,Simepar
25505222,,2016/10/04,-25.50973,-52.22975,Sitio Laranjal,H,3952.0,PCH Cavernoso II
26785101,,2016/10/06,-26.7769,-51.0094,CAÇADOR - Defesa Civil,P,4829.0,CEMADEN
27025189,,2015/02/23,-27.02329,-51.8937,IRANI - Centro,P,4995.0,CEMADEN
27015115,,2015/03/03,-27.00377,-51.16095,VIDEIRA - Floresta,P,5057.0,CEMADEN
25375212,,2017/10/07,-25.37224,-52.12637,CANTAGALO - Centro,P,5580.0,CEMADEN
25474932,,2017/05/15,-25.47175,-49.32372,Santa Quitéria,H,28.0,Águas Paraná
26684915,,2014/07/25,-26.682,-49.144,POMERODE - Rega,P,41.0,CEMADEN
25644907,944.0,2020/12/08,-25.64231,-49.07424,Reservatório Miringuava,P,52.0,SANEPAR
25434872,0.0,2012/05/15,-25.43083,-48.72019,SAMAE Antonina,P,93.0,Simepar
25484859,815.0,1997/06/01,-25.80797,-48.99193,Salto do Meio,H,190.0,Simepar
25444888,8.48,2015/02/05,-25.437,-48.877,MORRETES - Parque Breckenfeld,P,192.0,CEMADEN
25524854,,2015/02/05,-25.517,-48.543,PARANAGUÁ- Padre Jackson,P,194.0,CEMADEN
25404919,,2014/07/25,-25.4,-49.193,PINHAIS- Jardim Atuba,P,196.0,CEMADEN
25464919,,2014/07/25,-25.462,-49.187,PINHAIS- Weiss¢polis,P,205.0,CEMADEN
26894919,,2015/02/10,-26.89003,-49.19313,INDAIAL - Encano,P,256.0,CEMADEN
26434908,,2015/02/11,-26.42641,-49.07919,JARAGUÁ DO SUL - Corpo de Bombeiros Voluntários,P,261.0,CEMADEN
25454910,,2014/07/25,-25.45,-49.101,PIRAQUARA - Jardim Santa Mônica,P,267.0,CEMADEN
25464915,,2014/07/25,-25.46,-49.147,PIRAQUARA - Vila Mariana,P,268.0,CEMADEN
26775001,,2015/03/05,-26.77489,-50.00846,SANTA TEREZINHA- UBS Centro,P,278.0,CEMADEN
25314870,6.83,2018/04/10,-25.31948,-48.7073,Vila Nova,H,350.0,Simepar
25464957,,2016/06/14,-25.46276,-49.57091,Santa Cecília,P,363.0,Águas Paraná
25264916,935.0,1997/06/01,-25.44817,-49.23033,Curitiba,M,381.0,Simepar
25504918,906.0,2014/07/25,-25.503,-49.18,SÃO JOSÉ DOS PINHAIS- Afonso Pena,P,439.0,CEMADEN
25354855,895.0,2008/01/03,-25.5889,-48.9489,BR 277 - KM 48,P,540.0,ECOVIA
25424858,709.79,1997/06/01,-25.7114,-48.9828,Guaricana,H,545.0,Simepar
25514881,50.0,2015/08/01,-25.50898,-48.80859,Morretes,M,583.0,Iapar
25814854,51.0,2012/12/05,-25.81642,-48.54236,Matinhos Sede,P,584.0,Simepar
25544938,897.0,2015/02/23,-25.5433,-49.3813,ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,P,631.0,CEMADEN
25554920,906.0,2014/07/25,-25.55,-49.196,SÃO JOSÉ DOS PINHAIS - São Pedro,P,636.0,CEMADEN
25544909,906.0,2015/02/05,-25.537,-49.091,SÃO JOSÉ DOS PINHAIS - Borda do Campo,P,637.0,CEMADEN
25614917,906.0,2014/07/25,-25.606,-49.169,SÃO JOSÉ DOS PINHAIS - São Marcos,P,638.0,CEMADEN
25594916,906.0,2016/01/25,-25.58524,-49.1677,Grammer Sanepar,P,640.0,Águas Paraná
25784977,903.0,2015/08/01,-25.78212,-49.76035,Lapa,M,679.0,Iapar
25514914,906.0,2013/07/14,-25.5192,-49.14685,Fazendinha,H,698.0,Águas Paraná
25584963,865.0,2014/02/04,-25.58722,-49.63189,Balsa Nova,H,699.0,Águas Paraná
25574863,30.0,2012/12/13,-25.57578,-48.63814,Morro Inglês,P,747.0,Simepar
25354852,374.0,2008/01/05,-25.5794,-48.8811,BR 277 - KM 41,M,749.0,ECOVIA
25454912,,2014/01/01,-25.45058,-49.12135,Ponte PR 415,H,753.0,Águas Paraná
25874857,0.0,2012/10/18,-25.87381,-48.57806,Bombeiros Guaratuba,P,755.0,Simepar
25914858,8.0,2014/09/17,-25.91217,-48.58137,CCO de Guaratuba,P,756.0,Simepar
25724970,978.0,2013/03/01,-25.72683,-49.70617,Praça da Lapa,P,757.0,Caminhos do Paraná
25734859,21.0,2014/05/13,-25.73044,-48.59944,Parque Águas Claras,P,841.0,Simepar
26834911,,2014/07/25,-26.833,-49.108,BLUMENAU- Itoupava Central2,P,907.0,CEMADEN
26724907,,2014/07/25,-26.723,-49.066,BLUMENAU- Vila Itoupava,P,910.0,CEMADEN
26784936,,2014/07/25,-26.782,-49.365,BENEDITO NOVO - Centro,P,941.0,CEMADEN
26304991,,2015/02/24,-26.3014,-49.9066,ITAIÓPOLIS- Escola Rural Belmont,P,1030.0,CEMADEN
26184860,,2015/03/16,-26.18108,-48.60197,ITAPOÁ - Itapoá Terminais Portuários,P,1060.0,CEMADEN
26304899,,2014/07/25,-26.296,-48.988,JOINVILLE- Estrada Geral Salto I,P,1067.0,CEMADEN
26484910,,2015/02/10,-26.4766,-49.1043,JARAGUÁ DO SUL - SAMAE Agua Verde,P,1087.0,CEMADEN
26614889,,2015/02/23,-26.6081,-48.8948,MASSARANDUBA - Massarandubinha,P,1088.0,CEMADEN
27215012,,2014/07/25,-27.213,-50.122,MIRIM DOCE - Pinhalzinho,P,1089.0,CEMADEN
26455024,,2015/03/05,-26.45387,-50.23787,MONTE CASTELO - Bairro Novo,P,1092.0,CEMADEN
26774916,,2014/07/25,-26.774,-49.163,POMERODE- Testo Central Alto,P,1105.0,CEMADEN
27024963,,2015/02/11,-27.024,-49.635,PRESIDENTE GETÚLIO- Rua Caminho Pinheiro,P,1107.0,CEMADEN
27204967,,2014/07/25,-27.198,-49.674,RIO DO SUL- Fundo Canoas,P,1116.0,CEMADEN
27184960,,2014/07/25,-27.176,-49.604,RIO DO SUL- Santa Rita,P,1119.0,CEMADEN
26825001,,2014/07/25,-26.821,-50.011,RIO DO CAMPO - Rio da Prata,P,1123.0,CEMADEN
26724918,,2014/07/25,-26.723,-49.182,POMERODE - Rua Frederic Blanck,P,1125.0,CEMADEN
26734914,,2014/07/25,-26.73,-49.142,POMERODE - Wunderwald,P,1126.0,CEMADEN
26744917,,2014/07/25,-26.742,-49.174,POMERODE - Centro,P,1128.0,CEMADEN
27165047,,2014/07/25,-27.156,-50.467,PONTE ALTA DO NORTE - Centro,P,1129.0,CEMADEN
25334953,0.0,1997/06/01,-25.55,-49.8833,Porto Amazonas,H,1172.0,Simepar
26244864,,2015/02/20,-26.2426,-48.6385,SÃO FRANCISCO DO SUL - Centro,P,1225.0,CEMADEN
25544855,,2014/08/13,-25.542,-48.547,PARANAGUÁ- Vila do Povo,P,1260.0,CEMADEN
26394909,,2014/07/25,-26.392,-49.09,SCHROEDER- Centro,P,1266.0,CEMADEN
26414909,,2014/07/25,-26.412,-49.077,SCHROEDER- Centro2,P,1268.0,CEMADEN
27075003,,2014/07/25,-27.067,-50.034,TAIÓ- Santo Antonio,P,1315.0,CEMADEN
26844925,,2014/07/25,-26.842,-49.253,TIMBÓ - Vila Gemer,P,1372.0,CEMADEN
26804930,,2014/07/25,-26.799,-49.299,TIMBÓ - Tiroleses,P,1374.0,CEMADEN
26924979,,2014/07/25,-26.918,-49.788,WITMARSUM - Vila Nova,P,1416.0,CEMADEN
25544941,906.0,2016/03/23,-25.5474,-49.41009,Olaria Pioli,H,1448.0,Águas Paraná
26874919,,2015/02/10,-26.87525,-49.19488,INDAIAL - Encano do Norte,P,1933.0,CEMADEN
25344849,240.0,2007/12/28,-25.5739,-48.8303,BR 277 - KM 35,P,1991.0,ECOVIA
25494885,8.48,2015/02/05,-25.49,-48.855,MORRETES- América de Baixo,P,2031.0,CEMADEN
25694857,305.0,2012/09/19,-25.69175,-48.57417,Posto Polícia Alexandra,P,2066.0,Simepar
25694847,0.0,2014/09/11,-25.69773,-48.47751,ETA Praia de Leste,P,2171.0,Simepar
25674845,6.0,2012/10/25,-25.67503,-48.45825,Bombeiros Pontal do Sul,P,2181.0,Simepar
26284887,,2015/02/05,-26.279,-48.865,JOINVILLE - Costa e Silva,P,2548.0,CEMADEN
26484908,,2015/02/10,-26.4799,-49.082,JARAGUÁ DO SUL - Bombeiro do Centro,P,2591.0,CEMADEN
26484905,,2015/02/11,-26.48459,-49.04547,JARAGUÁ DO SUL - SAMAE Ilha da Figueira,P,2640.0,CEMADEN
25354833,23.0,2014/04/15,-25.593,-48.5611,Floresta do Palmito,P,2682.0,Simepar
25474883,9.0,2011/12/22,-25.4775,-48.8303,Morretes,H,2715.0,Águas Paraná
26234941,,2015/02/05,-26.229,-49.41,SÃO BENTO DO SUL - Colonial,P,2873.0,CEMADEN
25424938,,2016/06/13,-25.42697,-49.38794,Ponte BR 277 Campo Largo,H,2909.0,Águas Paraná
25264913,922.91,2003/01/28,-25.44869,-49.2306,Curitiba,M,2989.0,Inmet
26944906,,2015/02/06,-26.938,-49.057,BLUMENAU - Garcia,P,3007.0,CEMADEN
26664999,,2015/03/05,-26.65671,-49.99276,SANTA TEREZINHA- Rio da Anta,P,3108.0,CEMADEN
26445015,591.67,2008/03/11,-26.93753,-50.14545,Rio do Campo,M,3119.0,Inmet
26434959,856.89,2008/03/22,-26.24841,-49.58062,Rio Negrinho,M,3120.0,Inmet
25424883,50.31,2008/03/13,-25.50894,-48.80868,Morretes,M,3166.0,Inmet
25494990,935.0,2013/04/01,-25.49067,-49.90362,Praça de Porto Amazonas,P,3224.0,Caminhos do Paraná
25474946,909.8,1997/06/01,-25.7817,-49.7598,Lapa,M,3356.0,Simepar
25494905,851.0,1997/06/01,-25.8166,-49.0833,Vossoroca,H,3431.0,Simepar
26064948,0.0,1997/10/24,-26.1097,-49.80194,Rio Negro,H,3443.0,Simepar
25324831,0.0,1997/06/01,-25.84536,-48.58049,Guaratuba,M,3478.0,Simepar
25444869,2.0,2014/09/24,-25.44716,-48.69434,APPA Antonina,M,3487.0,Simepar
25564862,403.0,2012/05/07,-25.5692,-48.6269,BR 277 - KM 10,P,3584.0,ECOVIA
25554869,14.0,2011/12/13,-25.5563,-48.6947,Floresta,P,3656.0,Simepar
25554873,37.0,2013/12/05,-25.55444,-48.73833,Sambaqui,P,3664.0,Simepar
25254905,930.0,1998/07/10,-25.3907,-49.1299,Pinhais,M,3671.0,Simepar
25534852,19.0,2012/11/21,-25.5378,-48.5296,Paranaguá,M,3685.0,Simepar
25814881,36.0,2015/04/28,-25.81799,-48.80729,Cubatão - Copel,H,3726.0,Simepar
25484918,906.0,2013/09/08,-25.48581,-49.18133,Comp.  C. Água Limpa,H,3743.0,Águas Paraná
25594926,906.0,2013/09/08,-25.59859,-49.26004,Ponte Do Umbarazinho,H,3744.0,Águas Paraná
25324916,,2016/02/25,-25.3225,-49.16233,Embrapa,H,3789.0,Águas Paraná
25584916,,2016/01/25,-25.77708,-49.32475,Mandirituba Copel,P,3790.0,Águas Paraná
25454904,,2016/02/18,-25.45196,-49.0496,São Cristovão,P,3792.0,Águas Paraná
25444947,,2016/01/26,-25.44211,-49.47309,Bom Jesus da Aldeia,P,3793.0,Águas Paraná
25684954,,2016/01/25,-25.681,-49.54176,Contenda Copel,P,3810.0,Águas Paraná
25544907,906.0,2016/01/25,-25.54619,-49.07237,Chacara Guajubi,P,3820.0,Águas Paraná
25524875,8.48,2014/10/09,-25.52629,-48.75134,PR 408 - Ponte Sagrado,H,3942.0,ECOVIA
25524851,,2015/02/05,-25.523,-48.509,PARANAGUÁ - Ponta do Caju,P,3973.0,CEMADEN
25604951,897.0,2013/07/10,-25.60021,-49.5134,Guajuvira,H,4494.0,Águas Paraná
25534954,897.0,2014/02/20,-25.53778,-49.54439,Formigas,H,4495.0,Águas Paraná
25594922,906.0,2013/08/29,-25.59018,-49.22866,Cachoeira,H,4496.0,Águas Paraná
25344925,,2014/07/25,-25.343,-49.246,ALMIRANTE TAMANDARÉ- Jardim Graziela,P,4497.0,CEMADEN
25324915,950.0,2016/05/28,-25.32246,-49.15773,Colombo,M,4705.0,Inmet
25384930,,2014/12/12,-25.38,-49.295,CURITIBA - Pilarzinho,P,4723.0,CEMADEN
25594939,897.0,2015/02/23,-25.595,-49.388,ARAUCÁRIA - Centro,P,4737.0,CEMADEN
25374931,,2014/07/25,-25.371,-49.308,ALMIRANTE TAMANDARÉ - Jardim Tanguá,P,4740.0,CEMADEN
25344928,,2014/07/25,-25.344,-49.28,ALMIRANTE TAMANDARÉ - Jardim Bonfim,P,4743.0,CEMADEN
25464869,,2015/02/05,-25.462,-48.687,ANTONINA - Rua Professora Otilia Ferrarine,P,4750.0,CEMADEN
25444871,,2014/07/25,-25.436,-48.711,ANTONINA - Jardim Maria Luiza,P,4751.0,CEMADEN
25434871,,2014/07/25,-25.429,-48.71,ANTONINA - Centro,P,4753.0,CEMADEN
26424875,,2015/02/19,-26.41607,-48.75515,ARAQUARI - Porto Grande,P,4759.0,CEMADEN
26374872,,2015/02/19,-26.37228,-48.72337,ARAQUARI - Centro,P,4761.0,CEMADEN
26404880,,2015/02/23,-26.39942,-48.79885,ARAQUARI - Itinga,P,4762.0,CEMADEN
26904905,,2014/07/25,-26.902,-49.048,BLUMENAU - Ponta Aguda,P,4794.0,CEMADEN
26884907,,2014/07/25,-26.877,-49.066,BLUMENAU - Fortaleza,P,4796.0,CEMADEN
26914903,,2015/02/05,-26.905,-49.034,BLUMENAU - Vorstadt,P,4797.0,CEMADEN
26874909,,2014/07/25,-26.872,-49.086,BLUMENAU - Itoupava Norte,P,4800.0,CEMADEN
26944915,,2014/07/25,-26.937,-49.15,BLUMENAU - Velha Central,P,4802.0,CEMADEN
26904910,,2014/07/25,-26.904,-49.103,BLUMENAU - Escola Agricola,P,4803.0,CEMADEN
26914907,,2014/07/25,-26.913,-49.069,BLUMENAU - Centro,P,4806.0,CEMADEN
25334908,,2015/02/05,-25.334,-49.079,CAMPINA GRANDE DO SUL - Jardim Diamante,P,4850.0,CEMADEN
25984968,,2015/02/05,-25.9797,-49.684,CAMPO DO TENENTE - Centro,P,4854.0,CEMADEN
25474953,,2016/02/19,-25.46856,-49.52551,CAMPO LARGO - Vila Bancaria,P,4856.0,CEMADEN
25444946,,2016/02/19,-25.43937,-49.45527,CAMPO LARGO - Ferraria,P,4857.0,CEMADEN
25364919,,2015/02/23,-25.3612,-49.1892,COLOMBO - Alto da Cruz,P,4894.0,CEMADEN
26414923,,2015/02/06,-26.411,-49.235,CORUPÁ - Rua Ano Bom,P,4904.0,CEMADEN
26434926,,2014/07/25,-26.43,-49.259,CORUPÁ - Horto Florestal,P,4905.0,CEMADEN
26444923,,2015/02/11,-26.43862,-49.22865,CORUPÁ - João Tozini,P,4906.0,CEMADEN
25424934,,2014/12/12,-25.417,-49.342,CURITIBA - São Braz,P,4917.0,CEMADEN
25444935,,2015/02/05,-25.435,-49.35,CURITIBA - Santa Felicidade,P,4919.0,CEMADEN
25414936,,2015/03/10,-25.41118,-49.36184,CURITIBA - Butiatuvinha,P,4920.0,CEMADEN
25414930,,2014/12/12,-25.413,-49.301,CURITIBA - Vista Alegre,P,4921.0,CEMADEN
25384924,,2014/12/14,-25.379,-49.245,CURITIBA - Boa Vista,P,4923.0,CEMADEN
25384920,,2015/02/05,-25.384,-49.197,CURITIBA - Atuba,P,4924.0,CEMADEN
25564928,,2015/02/05,-25.555,-49.284,CURITIBA - Umbará,P,4925.0,CEMADEN
25654931,,2016/02/21,-25.64902,-49.30742,FAZENDA RIO GRANDE - Naçཞs,P,4940.0,CEMADEN
26114900,,2015/02/23,-26.11388,-49.00358,GARUVA - Estrada Geral Quiriri,P,4961.0,CEMADEN
26894901,,2014/07/25,-26.892,-49.009,GASPAR - Belchior Baixo,P,4963.0,CEMADEN
26804901,,2015/03/11,-26.80265,-49.01268,GASPAR - SAMAE ETA-V,P,4965.0,CEMADEN
26484902,,2015/02/11,-26.475,-49.0159,GUARAMIRIM - Nova Esperança,P,4978.0,CEMADEN
26474896,,2015/02/24,-26.47323,-48.95957,GUARAMIRIM - Bananal,P,4979.0,CEMADEN
26544902,,2015/02/11,-26.5405,-49.0169,GUARAMIRIM - Jacu-açu,P,4980.0,CEMADEN
26524913,,2015/02/10,-26.51601,-49.12951,JARAGUÁ DO SUL - Barra do Rio Cerro,P,5005.0,CEMADEN
26454917,,2015/07/09,-26.4548,-49.1663,JARAGUÁ DO SUL - Bombeiro de Nereu Ramos,P,5006.0,CEMADEN
26334888,,2015/02/23,-26.3309,-48.875,JOINVILLE - Estação de Cidadania Abilio Bello,P,5010.0,CEMADEN
27224966,,2014/07/25,-27.221,-49.659,RIO DO SUL - Canoas,P,5013.0,CEMADEN
26234950,,2014/07/25,-26.229,-49.496,RIO NEGRINHO - Industrial Norte,P,5016.0,CEMADEN
26094978,,2015/02/05,-26.085,-49.781,RIO NEGRO - Bom Jesus,P,5017.0,CEMADEN
26924937,,2014/07/25,-26.924,-49.369,RODEIO - Centro,P,5018.0,CEMADEN
26954935,,2014/07/25,-26.952,-49.353,RODEIO - BR 470,P,5019.0,CEMADEN
26854933,,2014/07/25,-26.846,-49.326,RODEIO - Rodeio 12,P,5020.0,CEMADEN
26975000,,2015/03/04,-26.97143,-50.00102,SALETE - CEI Primeiros Passos,P,5021.0,CEMADEN
26254880,,2014/07/25,-26.249,-48.797,JOINVILLE - Aventureiro,P,5027.0,CEMADEN
26274883,,2014/07/25,-26.273,-48.828,JOINVILLE - Iririu,P,5029.0,CEMADEN
26774896,,2014/07/25,-26.767,-48.963,LUIZ ALVES - Braço do Francês,P,5041.0,CEMADEN
26704890,,2014/07/25,-26.695,-48.904,LUIZ ALVES - Vila do Salto,P,5043.0,CEMADEN
26114981,,2014/07/25,-26.114,-49.806,MAFRA - Centro,P,5045.0,CEMADEN
26134980,,2015/03/03,-26.127,-49.7958,MAFRA - Rio da Lanca,H,5046.0,CEMADEN
26964962,,2017/09/24,-26.96298,-49.62662,JOSÉ BOITEUX - Centro,P,5528.0,CEMADEN
25134856,819.0,2000/03/21,-25.2208,-48.9395,Capivari Montante,H,250.0,Simepar
25174931,,2014/07/25,-25.167,-49.309,RIO BRANCO DO SUL - Rio Branco do Sul l,P,265.0,CEMADEN
25054850,686.0,2000/03/16,-25.0881,-48.8276,Capivari Jusante,H,405.0,Simepar
24844927,,2013/09/08,-24.84357,-49.27336,Cerro Azul Montante,H,779.0,Águas Paraná
24904944,,2013/09/08,-24.90348,-49.44163,Foz São Sebastião,H,780.0,Águas Paraná
25134848,60.0,1999/01/01,-25.24341,-48.75248,Antonina,M,3222.0,Simepar
25084852,758.0,1997/06/01,-25.1333,-48.8666,Capivari,H,3435.0,Simepar
25135001,888.25,1997/06/01,-25.0137,-50.1524,Ponta Grossa,M,3542.0,Simepar
24494915,366.0,1997/06/01,-24.8267,-49.2604,Cerro Azul,M,3717.0,Simepar
25244874,,2016/02/17,-25.24316,-48.74825,Pinguela,H,3755.0,Águas Paraná
25284923,,2016/01/25,-25.28776,-49.23149,Colombo Copel,P,3813.0,Águas Paraná
25184889,808.0,2012/05/10,-25.1825,-48.8981,Recanto do Maneco,H,3969.0,Simepar
25234959,,2014/02/04,-25.23556,-49.59633,Ponte Do Açungui,H,4465.0,Águas Paraná
25314930,,2014/07/25,-25.31,-49.298,ALMIRANTE TAMANDARÉ - Centro,P,4742.0,CEMADEN
25314931,,2014/07/25,-25.312,-49.308,ALMIRANTE TAMANDARÉ - Jardim Planalto,P,4744.0,CEMADEN
25314905,,2014/07/25,-25.311,-49.053,CAMPINA GRANDE DO SUL - Jardim da Colina,P,4849.0,CEMADEN
24824927,,2016/02/19,-24.82449,-49.26312,CERRO AZUL - CerroAzul01,P,4888.0,CEMADEN
27105133,767.63,2007/09/20,-27.16927,-51.55896,Joaçaba,M,3074.0,Inmet
27285061,978.1,2008/02/29,-27.28862,-50.60428,Curitibanos,M,3118.0,Inmet
27305057,,2015/02/23,-27.30408,-50.56729,CURITIBANOS - Cotia B1,P,4926.0,CEMADEN
27275143,,2017/09/03,-27.2771,-51.4394,ERVAL VELHO - São Sebastião,P,5537.0,CEMADEN
27055208,,2015/02/26,-27.05239,-52.08314,LINDÓIA DO SUL- Prefeitura Municipal,P,2118.0,CEMADEN
26015237,0.0,2002/08/30,-26.0291,-52.6283,PCH Arturo Andreoli Porto Palmeirinha,H,43.0,PCH Arturo Andreoli
25695262,,2015/02/19,-25.6916,-52.6174,SAUDADE DO IGUAÇU- Prefeitura Municipal,P,239.0,CEMADEN
26575233,,2015/02/05,-26.565,-52.326,ABELARDO LUZ - Centro,P,949.0,CEMADEN
25525251,438.0,2015/09/01,-25.5256,-52.5146,PCH Arturo Andreoli Rio Santana,H,1513.0,PCH Arturo Andreoli
26445242,878.74,2008/03/15,-26.93867,-52.39809,Xanxerê,M,3116.0,Inmet
25485254,430.0,2015/09/01,-25.482,-52.5422,Bela Vista Jusante,H,3433.0,Simepar
26445235,966.06,2008/05/15,-26.4172,-52.34874,Clevelândia,M,3439.0,Inmet
25985256,,2015/02/19,-25.9801,-52.5634,CORONEL VIVIDA - Prefeitura Municipal,P,4902.0,CEMADEN
24555296,529.0,2017/08/16,-24.5545,-52.96648,Ubiratã,M,39.0,Simepar
25425241,838.0,2017/07/18,-25.42767,-52.41211,Laranjeiras do Sul,M,193.0,Simepar
25505367,274.0,2017/07/13,-25.50895,-53.67738,Baixo Iguaçu,M,410.0,Simepar
25345816,273.0,2006/05/26,-25.5832,-53.2668,Balsa Jaracatiá,H,509.0,Simepar
25315021,367.0,2010/09/02,-25.5225,-53.3558,Boa Vista da Aparecida,H,746.0,Simepar
25405259,382.0,2015/09/01,-25.4055,-52.5901,PCH Arturo Andreoli Flor da Serra,H,1512.0,PCH Arturo Andreoli
25275357,,2015/02/27,-25.2686,-53.5725,LINDOESTE- Paço Municipal,P,2070.0,CEMADEN
24475343,516.4,1997/07/23,-24.7834,-53.7196,Toledo,M,3342.0,Simepar
24535333,719.3,1997/06/01,-24.8845,-53.5547,Cascavel,M,3538.0,Simepar
25465256,466.0,1997/06/01,-25.7737,-52.9329,Águas do Verê,H,3577.0,Simepar
25315329,440.0,1998/10/24,-25.52092,-53.49412,Salto Caxias,M,3708.0,Simepar
24535213,783.0,1997/06/01,-24.8644,-52.2186,Palmital,M,3715.0,Simepar
24945259,,2014/02/04,-24.94722,-52.59778,Porto Carriel,H,4457.0,Águas Paraná
24555290,,2014/02/04,-24.55444,-52.90139,Ponte Do Goio Bang,H,4459.0,Águas Paraná
25365239,835.0,2016/08/07,-25.36894,-52.39194,Laranjeiras do Sul,M,4704.0,Inmet
